Fecha;TRM
06/05/2021;3846,28
07/05/2021;3800,33
08/05/2021;3765,33
11/05/2021;3714,94
12/05/2021;3703,2
13/05/2021;3734,09
14/05/2021;3728,09
15/05/2021;3682,84
19/05/2021;3655,74
20/05/2021;3682,66
21/05/2021;3721,57
22/05/2021;3738,19
25/05/2021;3750,66
26/05/2021;3735,41
27/05/2021;3747,48
28/05/2021;3729,02
29/05/2021;3715,28
02/06/2021;3671,38
03/06/2021;3642,29
04/06/2021;3657,41
05/06/2021;3609,2
09/06/2021;3597,18
10/06/2021;3588,41
11/06/2021;3589,86
12/06/2021;3626,02
16/06/2021;3693,35
17/06/2021;3690,56
18/06/2021;3730,45
19/06/2021;3753,77
22/06/2021;3758,08
23/06/2021;3784,45
24/06/2021;3773,11
25/06/2021;3770,35
26/06/2021;3739,03
29/06/2021;3713,17
30/06/2021;3756,67
01/07/2021;3748,5
02/07/2021;3775,53
03/07/2021;3777,17
07/07/2021;3782,27
08/07/2021;3815,22
09/07/2021;3850,46
10/07/2021;3829,46
13/07/2021;3824,08
14/07/2021;3826,85
15/07/2021;3796,07
16/07/2021;3809,07
17/07/2021;3808,46
20/07/2021;3842,97
22/07/2021;3855,68
23/07/2021;3866,86
24/07/2021;3874,44
27/07/2021;3904,17
28/07/2021;3918,49
29/07/2021;3902,18
30/07/2021;3836,95
31/07/2021;3867,88
03/08/2021;3865,46
04/08/2021;3913,59
05/08/2021;3911,36
06/08/2021;3910,81
07/08/2021;3949,33
10/08/2021;3988,27
11/08/2021;3979,8
12/08/2021;3950,43
13/08/2021;3887,07
14/08/2021;3830,25
18/08/2021;3868,41
19/08/2021;3861,33
20/08/2021;3876,08
21/08/2021;3874,95
24/08/2021;3867,73
25/08/2021;3861,88
26/08/2021;3865,04
27/08/2021;3870,57
28/08/2021;3834,13
31/08/2021;3806,87
01/09/2021;3774
02/09/2021;3753,3
03/09/2021;3780,85
04/09/2021;3790,04
08/09/2021;3812,76
09/09/2021;3816,14
10/09/2021;3829,72
11/09/2021;3836,85
14/09/2021;3835,27
15/09/2021;3830,83
16/09/2021;3825,36
17/09/2021;3818,16
